,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,13.0,12.0,14.0,17.0,12.0,10.0,15.0,4.0,19.0,13.0,15.0,14.0,25.0,25.0,17.0,13.0,24.0,18.0,30.0,12.0,24.0,10.0,61.0,41.0,53.0,16.0,10.0,25.0,24.0,21.0,15.0,4.0,6.0,44.0,5.0,2.0,11.0,4.0,18.0,18.0,16.0,11.0,33.15,27.75,35.7,101.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28717,0.0,1.18738,1.3388,0.0
1,10.0,14.0,16.0,14.0,68.0,19.0,14.0,27.0,60.0,25.0,21.0,22.0,25.0,71.0,38.0,25.0,25.0,25.0,29.0,24.0,34.0,12.0,37.0,43.0,53.0,52.0,13.0,21.0,24.0,7.0,17.0,6.0,7.0,41.0,12.0,11.0,14.0,7.0,25.0,19.0,20.0,9.0,27.15,42.735,61.2,177.506,0.0,1.77903,0.0,0.0,0.0,1.34069,0.0,2.18915,0.0,0.0,2.10557,2.64232,1.53832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36356,2.17012,0.0
2,21.0,20.0,29.0,15.0,15.0,23.0,27.0,31.0,32.0,39.0,33.0,36.0,35.0,49.0,48.0,16.0,20.0,20.0,18.0,58.0,137.0,10.0,28.0,80.0,103.0,64.0,15.0,29.0,54.0,9.0,17.0,8.0,10.0,55.0,15.0,13.0,26.0,6.0,29.0,22.0,22.0,12.0,35.8,45.51,122.4,163.556,0.0,1.37978,1.94141,2.00425,3.96601,4.29334,0.0,3.56604,1.44113,1.84048,1.5657,1.69513,2.09173,2.12008,2.16685,0.0,1.8985,1.57784,1.60501,1.32903,3.08528,2.05409,2.36785,1.59811,0.0,0.0,1.96269,0.0,0.0,1.28678,2.07168,3.11724,3.16796,1.33514
3,14.0,22.0,19.0,18.0,19.0,6.0,17.0,13.0,26.0,15.0,30.0,11.0,30.0,42.0,49.0,47.0,22.0,18.0,14.0,17.0,27.0,17.0,33.0,21.0,38.0,28.0,11.0,14.0,20.0,31.0,13.0,9.0,10.0,58.0,5.0,10.0,18.0,4.0,20.0,22.0,26.0,12.0,32.5,64.38,121.38,115.94,0.0,0.0,1.57488,1.83236,2.90414,2.43731,0.0,1.99356,0.0,1.30802,1.81842,2.82456,0.0,0.0,0.0,0.0,0.0,1.98572,1.89927,0.0,1.64075,1.29142,1.30994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51908,6.79381,1.16224
4,21.0,23.0,27.0,20.0,18.0,11.0,10.0,6.0,8.0,10.0,18.0,7.0,13.0,20.0,41.0,21.0,4.0,35.0,14.0,13.0,10.0,7.0,28.0,19.0,20.0,56.0,17.0,21.0,27.0,25.0,18.0,10.0,7.0,45.0,8.0,10.0,11.0,5.0,19.0,25.0,24.0,11.0,42.6,25.53,46.92,75.64,0.0,0.0,0.0,0.0,0.0,0.0,1.54971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30151,0.0,0.0,0.0,1.39201,0.0,0.0,0.0,0.0,0.0,1.1979,0.0,0.0,0.0,1.19955
5,15.0,17.0,16.0,15.0,13.0,9.0,13.0,15.0,27.0,15.0,23.0,22.0,17.0,43.0,27.0,38.0,27.0,20.0,11.0,12.0,10.0,8.0,85.0,33.0,23.0,48.0,6.0,15.0,17.0,23.0,21.0,7.0,7.0,48.0,7.0,7.0,11.0,3.0,19.0,20.0,20.0,12.0,36.05,68.82,45.9,35.34,0.0,0.0,0.0,0.0,1.13064,1.21587,0.0,0.0,0.0,0.0,0.0,0.0,1.29771,1.34157,0.0,0.0,0.0,1.36596,1.39704,0.0,1.23523,0.0,0.0,0.0,0.0,0.0,0.0,1.69223,0.0,1.16533,0.0,1.1505,1.20382,1.25287
6,12.0,17.0,21.0,18.0,22.0,20.0,27.0,9.0,24.0,15.0,26.0,7.0,15.0,26.0,33.0,44.0,14.0,81.0,13.0,14.0,48.0,5.0,113.0,56.0,37.0,89.0,13.0,18.0,37.0,15.0,17.0,9.0,9.0,55.0,10.0,16.0,16.0,4.0,32.0,22.0,24.0,11.0,28.4,42.18,57.12,172.484,1.37544,1.59719,0.0,0.0,0.0,1.10588,0.0,2.42351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35905,1.40052,0.0,1.27016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2415,0.0,0.0,1.17646,0.0
7,12.0,9.0,11.0,19.0,39.0,60.0,33.0,7.0,37.0,40.0,97.0,7.0,13.0,30.0,32.0,17.0,19.0,47.0,12.0,151.0,151.0,12.0,66.0,225.0,531.0,28.0,12.0,114.0,248.0,7.0,20.0,16.0,9.0,50.0,15.0,17.0,20.0,8.0,26.0,22.0,17.0,12.0,20.15,83.361,136.68,180.73,0.0,0.0,2.18248,4.97752,3.45903,2.77294,1.89088,3.9135,1.67612,1.46694,1.76659,4.00348,2.03671,1.87197,1.9323,0.0,1.47314,2.09255,1.9529,1.33165,3.16009,0.0,1.17082,1.30722,0.0,0.0,2.0045,1.8578,0.0,2.02998,0.0,1.59911,1.65991,0.0
8,18.0,16.0,19.0,18.0,58.0,64.0,35.0,10.0,76.0,112.0,181.0,47.0,15.0,35.0,36.0,1.0,46.0,170.0,22.0,165.0,132.0,18.0,54.0,360.0,741.0,28.0,33.0,187.0,556.0,19.0,24.0,15.0,18.0,55.0,23.0,24.0,28.0,7.0,23.0,18.0,16.0,11.0,24.8,92.463,61.2,81.84,1.20564,1.36915,1.95605,1.94246,1.29782,2.10873,1.75224,0.0,0.0,1.28467,0.0,0.0,1.44388,1.59714,0.0,0.0,1.66583,1.4794,1.30955,1.3153,1.6554,1.27287,0.0,1.50198,0.0,0.0,0.0,1.66519,1.43238,1.554,1.83464,1.36574,1.37954,1.28288
9,11.0,13.0,11.0,15.0,16.0,34.0,20.0,6.0,19.0,30.0,50.0,29.0,30.0,30.0,23.0,35.0,17.0,15.0,16.0,102.0,167.0,11.0,20.0,67.0,149.0,0.0,12.0,40.0,124.0,35.0,17.0,8.0,10.0,45.0,10.0,15.0,20.0,4.0,19.0,21.0,18.0,11.0,23.15,73.26,90.78,123.38,0.0,0.0,2.30185,2.31036,1.67868,2.83725,0.0,2.97346,0.0,1.33365,1.94772,2.8198,2.37804,1.92793,2.21107,0.0,0.0,3.05898,2.90336,0.0,1.67883,1.22718,1.18693,0.0,0.0,0.0,0.0,1.81282,0.0,1.30244,0.0,1.6473,1.52361,1.44508
10,13.0,35.0,21.0,16.0,26.0,12.0,19.0,15.0,25.0,26.0,23.0,22.0,18.0,55.0,44.0,17.0,28.0,15.0,18.0,21.0,27.0,14.0,18.0,37.0,78.0,109.0,14.0,23.0,34.0,23.0,17.0,11.0,8.0,39.0,9.0,14.0,17.0,4.0,22.0,30.0,22.0,12.0,37.7,29.97,54.06,84.94,0.0,0.0,0.0,1.18352,1.24398,1.12129,1.8859,0.0,1.48043,1.36764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25994,1.23348,1.2038,1.41342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43097,1.31975,1.26329
11,12.0,13.0,16.0,21.0,22.0,19.0,29.0,12.0,17.0,21.0,32.0,7.0,30.0,30.0,62.0,21.0,14.0,17.0,16.0,27.0,39.0,10.0,40.0,28.0,50.0,76.0,13.0,13.0,32.0,7.0,14.0,10.0,8.0,33.0,8.0,12.0,19.0,4.0,24.0,24.0,23.0,6.0,24.8,104.34,92.616,246.264,0.0,0.0,2.5036,2.29648,3.35983,1.63131,1.63434,4.55519,1.84481,1.49047,1.27437,1.64751,0.0,0.0,0.0,0.0,0.0,2.88305,2.78183,0.0,2.19027,1.29245,1.24314,0.0,0.0,0.0,0.0,2.87846,0.0,1.54692,0.0,2.74087,2.7122,0.0
